#{"t_start": 1642690503.03357, "env_id": "lanechangeScenario-v0"}
r,l,t
148.034268,207,2.077037
-110.094024,67,2.280393
341.519768,400,3.572756
-116.691259,65,3.801147
-112.649499,82,4.20108
571.774696,145,4.720687
85.75846,127,5.075811
-111.998242,44,5.181412
-46.008335,400,6.346588
300.493598,278,7.267862
554.470922,136,7.662606
-62.290089,400,8.838831
574.45831,296,9.665682
-54.56453,400,10.727561
-116.845143,92,10.984587
593.096346,242,11.634087
579.741704,238,12.276707
605.116694,398,13.377583
-116.184114,72,13.556075
-9.879779,312,14.579155
